table_name,source,status,evidence,drop_recommendation
profiles,app and admin code,active,"Referenced across auth, app APIs, admin APIs, worker, and dashboards","Do not drop"
customer_profiles,app and admin code,active,"Referenced by customer signup/profile routes, admin user loaders, worker seed/import code","Do not drop"
provider_profiles,app and admin code,active,"Referenced by provider registration, provider profile APIs, admin provider views, worker, marketplace/catalog","Do not drop"
provider_verifications,app and admin code,active,"Referenced by provider registration, provider profile APIs, admin verification flow, admin loaders, worker","Do not drop"
provider_admin_metadata,app and admin code,active,"Referenced by provider registration, admin provider views, provider application API, worker","Do not drop"
provider_services,app and admin code,active,"Referenced by booking creation, provider APIs, provider marketplace/catalog, admin loaders, worker","Do not drop"
provider_service_specialties,app and admin code,active,"Referenced indirectly via provider service inserts/selects in registration and application APIs","Do not drop"
provider_documents,app and admin code,active,"Referenced by provider application API, admin provider loaders, worker document flows","Do not drop"
bookings,app and admin code,active,"Referenced by customer/profile/provider/admin APIs, admin loaders, worker, reports","Do not drop"
booking_messages,app and admin code,active,"Referenced by booking APIs and admin booking detail","Do not drop"
booking_status_history,app and admin code,active,"Referenced by admin booking detail and migration triggers","Do not drop"
notifications,app and admin code,active,"Referenced by notification APIs, booking/provider flows, realtime UI","Do not drop"
payments,app and admin code,active,"Referenced by profile APIs, provider dashboard, admin settlement, admin loaders, worker","Do not drop"
reviews,app and admin code,active,"Referenced by provider dashboard, provider/admin loaders, marketplace/catalog","Do not drop"
user_reports,app and admin code,active,"Referenced by app/api/reports/route.ts and admin user/provider views","Do not drop"
login_audit_events,app and admin code,active,"Referenced by admin user loaders","Do not drop"
service_commission_settings,app and worker code,active,"Referenced by admin settings client and worker settlement logic","Do not drop"
addresses,CSV only and UI concept,unknown,"Mentioned in customer CSV documentation, but no migration or active Supabase route usage found in this repo","Only consider cleanup after live schema audit confirms the table exists and is unused"
provider_availability,CSV only and legacy concept,unknown,"Mentioned in provider CSV documentation, but current code writes availability to provider_admin_metadata","Only consider cleanup after live schema audit confirms the table exists and is unused"
